level,word,pronounciation,meaning,Example
Level 5,gesticulate,jes-tik-yuh-layt,"verb: to make movements with your hands, to express a feeling or idea",My brother tends to gesticulate wildly when he talks about football.
Level 5,gratuitous,gruh-tyooh-uh-tuhs,"adjective: without reason, cause or excuse",The nasty comments were completely gratuitous.
Level 5,inauguration,in-awg-yuh-ray-shuhn,noun: induction into office at a formal ceremony,"The inauguration of the president was a very grand event, watched by millions around the world."
Level 5,innocuous,in-ok-yooh-uhs,adjective: not harmful,"It was an innocuous comment, and not meant to upset anyone."
Level 5,interrogation,in-te-ruh-gay-shuhn,noun: the act of questioning someone closely to find out something,The interrogation of the suspect took more than four hours because he wouldn't name his accomplices.
Level 5,irreversible,i-ruh-vers-uh-buhl,adjective: not able to be changed or undone,We knew the decision was irreversible and we just had to put up with the outcome.
Level 5,linoleum,luy-noh-lee-uhm,"noun: a floor covering formed by coating hessian or canvas with linseed oil, powdered cork, and rosin",The floor of our kitchen is linoleum which makes it very easy to mop.
Level 5,liquidambar,lik-wuhd-am-buh,noun: a large deciduous tree,The liquidambar has large spiky seeds.
Level 5,monastery,mon-uhs-tree or mon-uhs-terry,noun: a place where a group of monks live and work,Most of the monks worked within the grounds of the monastery.
Level 5,naturopathy,nach-uh-rop-uh-thee,"noun: a system of treating disease and disorders in humans based on promoting the body's own natural defences, especially by use of herbs, natural foods, massage, exercise and sunlight",Naturopathy is an alternative approach in treating disease and illness.
Level 5,necessity,nuh-sess-uh-tee,noun: something that cannot be done without,A water flask is a necessity when you are hiking.
Level 5,pandemonium,pan-duh-moh-nee-uhm,noun: wild and noisy confusion,There was absolute pandemonium when we heard that our team had made the finals.
Level 5,peripheral,puh-rif-uh-ruhl,adjective: not part of a main or central thing,We shouldn't waste our time worrying about peripheral issues.
Level 5,perpendicular,per-puhn-dik-yuh-luh,adjective: meeting a line or surface at right angles,This instrument will indicate if the wall is exactly perpendicular to the floor.
Level 5,precocious,pruh-koh-shuhs,adjective: more advanced than others of the same age,"Anyone who composes music at the age of four, as Mozart did, could be regarded as precocious."
Level 5,preferential,pref-uh-ren-shuhl,"adjective: special, or ahead of everyone else",The other team members claimed that he had received preferential treatment because he was the coach's nephew.
Level 5,prejudice,prej-uh-duhs,"noun: an opinion unfairly formed beforehand, without reason or proof",The decision didn't seem fair and showed a prejudice on the part of the judge.
Level 5,privilege,priv-uh-lij,noun: a special right or advantage enjoyed by only a limited number of people,The sign said that it was a privilege to view the penguins and people should look after the site.
Level 5,prodigious,pruh-dij-uhs,"adjective: extremely great in size, amount or force",He has a prodigious appetite for fantasy fiction and is always at the library.
Level 5,superannuation,sooh-puh-ran-yooh-ay-shuhn,"noun: a pension or allowance paid to a person, especially someone who has retired from work","It's important to plan your superannuation, so that you have money to live on when you retire."
Level 5,superstitious,sooh-puh-stish-uhs,adjective: believing that certain things or events can bring you good or bad luck,"He is very superstitious, and will not walk under a ladder in case it brings him bad luck."
Level 5,warranty,wo-ruhn-tee,noun: a formal promise or assurance of reliability,The computer's one-year warranty covered replacement of faulty parts.
Level 5,wildebeest,wil-duh-beest,noun: an African antelope,We saw a wildebeest during a safari in Africa.
Level 5,wrasse,rass,"noun: a marine fish, usually a brilliant colour, with thick lips",The hump-headed wrasse is a common fish of the Great Barrier Reef.
Level 5,zoological,zoh-uh-loj-ik-uhl,adjective: having to do with animals,My favourite zoological documentary has to be the one about the polar bears.
Level 5,acronym,ak-ruh-nim,noun: a word made from the first letters of other words,‘ANZAC’ is an acronym from ‘Australian and New Zealand Army Corps’.
Level 5,allegretto,al-uh-gret-oh,"adverb: in music, played or sung at a rapid tempo",She had to practise the passage slowly before she could play it allegretto.
Level 5,anecdote,an-uhk-doht,noun: a short story that tells about a funny or interesting person or event,She kept us entertained with an anecdote about her family.
Level 5,cinematography,sin-uh-muh-tog-ruh-fee,noun: the art of film photography,The cinematography in that new French film is outstanding.
Level 5,conservatorium,kuhn-serv-uh-taw-ree-uhm,noun: a school where you learn music,Fran played two solo pieces in her audition for the conservatorium.
Level 5,fictitious,fik-tish-uhs,adjective: imaginary or made up,The characters in this film are fictitious -- they are not based on real people.
Level 5,haiku,huy-kooh or huy-kooh,noun: a Japanese form of poem which has 17 syllables and three lines,There was a beautiful haiku engraved at the war memorial.
Level 5,manuscript,man-yuh-skript,"noun: a book, letter, or piece of music, written by hand or typed",The manuscript of my unfinished novel is in the bottom drawer.
Level 5,melodramatic,mel-uh-druh-mat-ik,adjective: too emotional and theatrical,We were surprised by the melodramatic reaction to the announcement.
Level 5,orchestra,aw-kuh-struh,"noun: a large group of players of musical instruments, often performing classical music",The orchestra spent ten minutes tuning their instruments.
Level 5,oxymoron,ok-see-maw-ron,noun: a saying which contains a seeming contradiction,Some would say that the phrase `enjoyable homework' is an oxymoron.
Level 5,portraiture,paw-truh-chuh,"noun: the art of painting or drawing the likeness of a person, especially depicting only the face or the head and shoulders",Her painting of her mother won first prize for portraiture.
Level 5,synonym,sin-uh-nim,noun: a word having the same or very similar meaning as another,The teacher said that a synonym for `joyful' is `happy'.
Level 5,vaudeville,vaw-duh-vil,"noun: a theatrical entertainment, popular in the past, featuring musical and comedy acts",His great-grandmother was a star of vaudeville in the 1920s.
Level 5,arancini,a-ruhn-chee-nee,"noun: (in Italian cookery) a dish of cones or balls of cooked rice, usually flavoured with mozzarella, coated in breadcrumbs, and deep-fried","When I cut into the arancini, delicious mozzarella oozed out."
Level 5,camembert,kam-uhm-bair,"noun: a rich, creamy, soft cheese, usually made in small, flat rounds","We served the camembert with biscuits, dates and figs."
Level 5,confectionery,kuhn-fek-shuhn-ree or kuhn-fek-shuhn-erry,plural noun: sweets,They had eaten so much confectionery they didn't feel like dinner.
Level 5,delicatessen,del-uh-kuh-tess-uhn,"noun: a shop which sells a variety of foods, including cheeses, cold meats, and other prepared goods",We dropped in at the delicatessen to buy some ham.
Level 5,focaccia,fuh-kah-chuh or fuh-kah-chee-uh,noun: flat Italian bread which can be eaten with various fillings or toppings,We had focaccia with cheese and olives for lunch.
Level 5,gnocchi,nyok-ee or nok-ee,"noun: small dumplings made from potato and flour or semolina, usually served with a sauce",It takes a lot of potatoes to make enough gnocchi for ten people.
Level 5,meringue,muh-rang,noun: a mixture of sugar and beaten whites of eggs used in cakes and sweets,We cooked the meringue in the oven on a very low heat.
Level 5,mortadella,maw-tuh-del-uh,noun: a large cooked and smoked sausage made of chopped beef and pork seasoned with garlic and pepper,My favourite deli always gives me extra mortadella on my sandwich.
Level 5,pistachio,puh-stah-shee-oh or puh-stash-ee-oh,noun: the nut of the fruit of a small tree of southern Europe and western Asia,The colour of a pistachio is a delicate green.
Level 5,tortilla,taw-tee-yuh,"noun: a thin, round, unleavened cake made from cornmeal",We wrapped some chicken and salad in a tortilla for lunch.
Level 5,crevasse,kruh-vass,noun: a deep crack in a glacier or river of ice,The glacier was enormous and we could see a large crevasse slicing it down the middle.
Level 5,Indonesia,in-duh-nee-zhuh,"noun: a republic in South-East Asia, consisting of a group of about 13,000 islands lying between the Malay Peninsula and New Guinea","Indonesia is one of Australia's closest neighbours, and one of our favourite holiday destinations."
Level 5,Nullarbor,nul-uh-baw,"noun: a plain lying along the Great Australian Bight, stretching across the border between Western Australia and South Australia",We drove across the Nullarbor on our way to Adelaide from Perth.
Level 5,precipitation,pruh-sip-uh-tay-shuhn,"noun: water that falls from the sky, whether as rain, snow or hail",Parts of Australia may experience no precipitation for months at a time.
Level 5,seismology,suyz-mol-uh-jee,noun: the science or study of earthquakes,My aunt studied seismology and is now an expert on earthquakes.
Level 5,sirocco,suh-rok-oh,"noun: a hot, oppressive wind",The hot winds of the sirocco made our trip to southern Italy uncomfortable.
Level 5,stalactite,stal-uhk-tuyt,"noun: a deposit formed by dripping water, which hangs from the roof of a limestone cave","While we were exploring the cave, I hit my head on a stalactite."
Level 5,Vanuatu,van-uh-wah-tooh,noun: a republic in the south-western Pacific Ocean,Vanuatu consists of about 80 separate islands.
Level 5,Zimbabwe,zim-bahb-way zim-bahb-wee,"noun: a republic in southern Africa bordered by Mozambique, Zambia, Botswana and South Africa",Zimbabwe was a British colony called Rhodesia before independence was declared in 1965.
Level 5,algebra,al-juh-bruh,noun: the branch of mathematics which uses letters to stand for numbers,We have just started to learn about algebra in maths.
Level 5,alkali,al-kuh-luy,noun: a chemical that reduces the effect of acid,In science today we learned that soap is an alkali.
Level 5,alphanumeric,al-fuh-nyooh-me-rik,adjective: consisting of both letters and numerals,My password is alphanumeric -- ABC986.
Level 5,ampere,am-pair,noun: a unit of electric current,Electricians usually shorten the word `ampere' to `amp'.
Level 5,chromosome,kroh-muh-sohm or kroh-muh-zohm,"noun: a tiny part found in the nucleus of all living cells, which carries the genetic codes for the characteristics of the organism",The Y chromosome is passed only from father to son.
Level 5,equilateral,eek-wuh-lat-uh-ruhl,adjective: having equal sides,It is easy to draw an equilateral triangle if you have a compass.
Level 5,Galileo,gal-uh-lay-oh,"noun: an Italian physicist, astronomer and mathematician who was born in 1564 and ied in 1642","In 1609, Galileo built the first astronomical telescope."
Level 5,laboratory,luh-bo-ruh-tree or lab-ruh-taw-ree,noun: a building or room for doing scientific tests or for making chemicals or medicines,The mad scientist worked in his laboratory all night.
Level 5,mathematician,math-uh-muh-tish-uhn,noun: an expert in mathematics,Grace was good with numbers and wanted to be a mathematician.
Level 5,millimetre,mil-uh-mee-tuh,noun: a unit of length in the metric system,A millimetre is a very small unit which you can use for detailed measurements.
Level 5,temperature,tem-pruh-chuh,noun: a measure of the degree of heat or cold of something or someone,The temperature was too high for the thermometer to register.
Level 5,abseiling,ab-say-ling,"noun: the sport of lowering yourself down a cliff or wall, using a rope attached to a harness",They found a low cliff that would be suitable for beginners to try abseiling.
Level 5,aikido,uy-kee-doh or uy-kid-oh,noun: a type of Japanese martial art,"Aikido is similar to jujitsu, and is used for self-defence."
Level 5,carbohydrate,kah-buh-huy-drayt,"noun: one of a range of chemical compounds of oxygen, hydrogen and carbon, including simple sugars such as glucose and lactose","Foods high in carbohydrate include fruits, sweets, soft drinks, breads, pastas, and cereals."
Level 5,catapult,kat-uh-pult,noun: a contraption used for flinging things through the air,"In some shooting competitions, a small catapult is used to launch targets into the air."
Level 5,commentator,kom-uhn-tay-tuh,"noun: a writer or broadcaster who comments on news, or describes sporting events.",The cricket commentator knew an amazing amount of detailed information about each player.
Level 5,nemesis,nem-uh-suhs,noun: someone or something that brings a defeat or punishment,She had to play her nemesis in the semifinal -- she had never beaten her and was very nervous.
Level 5,physiotherapy,fiz-ee-oh-the-ruh-pee,noun: the treatment of disease and injuries by physical means such as massage and exercise,She had five sessions of physiotherapy to strengthen her injured knee.
Level 5,quadriceps,kwod-ruh-seps,"noun: the large muscle at the front of the thigh, which stretches the leg",He strained his quadriceps during the football game.
Level 5,solitaire,sol-uh-tair,noun: a card game played by one person,Dad usually plays a game of solitaire before bed.
Level 5,strenuous,stren-yooh-uhs,adjective: needing a great effort,Weightlifting is a very strenuous exercise.
